MSISDN;GA_DATE;ID_DSF;DEVICE;VALID_FLAG;REMARKS
6285882739395;20260510;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739396;20260510;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739385;20260512;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739387;20260512;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739394;20260512;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769275;20260512;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769274;20260512;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769324;20260513;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769326;20260513;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882740607;20260509;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769269;20260511;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769833;20260512;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769832;20260512;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769272;20260513;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769325;20260513;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769329;20260513;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769327;20260513;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754871;20260511;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754872;20260504;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754873;20260505;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754875;20260505;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754900;20260506;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754901;20260506;DSFGRAHA15;4G PRODUCT;0;Ada di Raw Data, namun ORG_ID: 17678942
6285882754902;20260506;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754903;20260506;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754904;20260506;DSFGRAHA15;4G PRODUCT;0;Ada di Raw Data, namun ORG_ID: 17253088
6285882769058;20260512;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769059;20260512;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769061;20260512;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759263;20260513;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759264;20260513;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759265;20260516;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754784;20260512;DSFGRAHA14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882730846;20260505;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882731019;20260505;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882731017;20260505;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771425;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771427;20260512;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771430;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771431;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771432;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771703;20260512;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771705;20260512;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771706;20260512;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771707;20260512;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771708;20260512;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771738;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771739;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771740;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771741;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771742;20260513;SFBNGKULU30;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771343;NOT FOUND;SFBNGKULU15;NOT FOUND;0;MSISDN tidak ditemukan di Raw Data
6285882771342;20260512;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771347;20260513;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771341;20260512;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771340;20260513;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771436;20260512;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771435;20260512;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771437;20260512;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771434;20260512;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771433;20260512;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771449;20260513;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771448;20260513;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771447;20260513;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771446;20260513;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771445;20260513;SFBNGKULU15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755083;20260505;SFBABEL06;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754979;20260507;SFBABEL06;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882754978;20260507;SFBABEL06;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755006;20260513;SFBABEL06;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755008;20260513;SFBABEL06;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755214;20260506;SFKRUI02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755215;20260508;SFKRUI02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755133;20260513;SFKRUI02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755137;20260513;SFKRUI02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755138;20260513;SFKRUI02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755139;20260513;SFKRUI02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755187;20260513;SFKRUI02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285711395251;20260507;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882756049;20260507;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755822;20260508;SFPLMB24;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755821;20260508;SFPLMB43;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769179;20260516;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769176;20260516;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769181;20260515;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769174;20260516;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769175;20260515;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759260;20260515;DSFGRAHA15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771687;20260514;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771682;20260514;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771683;20260514;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771685;20260514;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771686;20260514;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771592;20260513;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771595;20260513;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771594;20260513;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771596;20260513;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882771598;20260513;SFBNGKULU29;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739412;20260518;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739407;20260518;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739419;20260518;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739409;20260518;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882739408;20260518;SFBLMKOTA11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882769303;20260518;SFTGMS02;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759356;20260518;SFSRIBWN11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759430;20260518;SFSRIBWN11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759428;20260518;SFSRIBWN11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759429;20260518;SFSRIBWN11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759432;20260518;SFSRIBWN11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882759431;20260518;SFSRIBWN11;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285711956138;NOT FOUND;SFPLMB24;NOT FOUND;0;MSISDN tidak ditemukan di Raw Data
6285711956680;NOT FOUND;SFPLMB24;NOT FOUND;0;MSISDN tidak ditemukan di Raw Data
6285882755811;20260518;SFPLMB24;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755815;20260515;SFPLMB58;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755881;20260518;SFPLMB58;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755812;20260518;SFPLMB43;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882770032;20260515;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882770106;20260515;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882770021;20260515;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882770024;20260515;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882770026;20260515;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882770027;20260515;SFMTRLMT14;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755009;20260515;BABELSF15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
6285882755021;20260516;BABELSF15;4G PRODUCT;0;Sudah terhitung sebelumnya dari Raw Data
